 1.514260000000e+03  2.000000000000e+02
 1.571580000000e+03  2.000000000000e+02
 1.922230000000e+03  3.000000000000e+02
 1.995430000000e+03  2.000000000000e+02
 2.144408000000e+03  1.000000000000e+03
 2.194557000000e+03  1.000000000000e+03
 2.265018000000e+03  1.000000000000e+03
 2.312766000000e+03  1.000000000000e+03
 2.321074000000e+03  2.000000000000e+02
 2.572930000000e+03  5.000000000000e+02
 2.748549000000e+03  1.000000000000e+03
 2.914672000000e+03  2.000000000000e+02
 2.929271000000e+03  2.000000000000e+02
 4.134768000000e+03  2.000000000000e+02
 4.415630000000e+03  1.000000000000e+03
 5.337480000000e+03  1.000000000000e+03
 5.378130000000e+03  1.000000000000e+03
 5.381890000000e+03  2.000000000000e+02
 6.354720000000e+03  4.000000000000e+02
 6.359980000000e+03  5.000000000000e+02
 6.464940000000e+03  4.000000000000e+02
 6.725780000000e+03  5.000000000000e+02
