 8.295290000000e+02  1.400000000000e+02
 1.113708000000e+03  2.000000000000e+02
 1.119133000000e+03  2.000000000000e+02
 1.130760000000e+03  3.000000000000e+02
 1.414401000000e+03  1.000000000000e+03
 1.535309000000e+03  8.000000000000e+02
 1.813878000000e+03  8.000000000000e+02
 1.845199000000e+03  9.000000000000e+02
 2.090771000000e+03  1.000000000000e+03
 2.700491000000e+03  3.000000000000e+02
 2.779977000000e+03  3.000000000000e+02
 3.374915000000e+03  6.000000000000e+02
 3.375948000000e+03  5.000000000000e+02
 3.470347000000e+03  5.000000000000e+02
 3.735024000000e+03  3.000000000000e+02
 4.262019000000e+03  3.000000000000e+02
 5.219650000000e+03  5.000000000000e+02
 5.416360000000e+03  5.000000000000e+02
 6.334050000000e+03  1.000000000000e+03
 6.419230000000e+03  9.000000000000e+02
 6.455890000000e+03  8.000000000000e+02
 7.792260000000e+03  8.000000000000e+02
